company_name,product_name,sha1,category,homepage
Giorgio Tani,PeaZip,bcd9fd198cab024450c1f2d09d83aeeeee6a2a4a,File archiver,https://peazip.github.io/
Igor Pavlov,7-Zip,ff22e3a12e153e70014179f83f85459f8db1191c,File archiver,https://www.7-zip.org/
Tim Kosse,FileZilla,e94803128b6368b5c2c876a782b1e88346356844,File Transfer,https://filezilla-project.org/
1Password,1Password,e5ee385388b5fa57cc8374102d779d3c9849a57f,Password Manager,https://1password.com/
"GoTo Group, Inc.",LastPass,fa946b6d4293b0a0bae0e94ffcd6817f4526aa3b,Password Manager,https://www.lastpass.com/
NirSoft,SearchMyFiles,77cfb3b4dc28e47ddba222982e6b6cd1c935e127,Unknown,https://example.com/
Kong,Insomnia,fd9b8a6a2e3045d250efa0400bb636d3e634681f,API Development,https://example.com/
EmTec Innovative Software,ZOC Terminal,51dac5be22e93772d40dfa47ca25408886626f5d,Terminal,https://example.com/
Stas'M Corp.,RDP Host Support,66f40824b406c748846ef11e6b022958f8cbe48b,Unknown,https://example.com/
https://www.qemu.org,QEMU,c9ec956ae1aafabf1437cab16db14c61534b3e14,Virtualization,https://www.qemu.org/
Rocket Software B.V.,Uniface,f2b74524ebdfdaa9091cba029e67e5d39f7c9711,Unknown,https://example.com/
æ ªå¼ä¼šç¤¾ãƒ¢ãƒ¼ãƒªãƒ³,ç­†ã¾ã‚,49ab845fe16b5ef683facbb6bdc5a015e041552f,Unknown,https://example.com/
AnyDesk Software GmbH,AnyDesk,ff793f21612ac66244f2a41d3102f04f38fe7ded,Remote Desktop,https://anydesk.com/
PlariumPlay,PlariumPlay,fc28c06f316f719a623edbbf21cfa9e30b561929,Unknown,https://example.com/
Slack Technologies Inc.,Slack,f53f36c766c615f665dd00de30dc12d2ed4195b9,Team Collaboration,https://slack.com/
Progress Software Corporation,Fiddler,a3f06260e08e0df5460892f23938882110ba0106,Unknown,https://example.com/
Foxit Software Company,Foxit Reader,4d0e8ca43856eaf5c2356dfdb076d0f1d7a17a36,PDF Reader,https://example.com/
Movavi,Movavi Screen Recorder,ca97be01f1df3d9551a4492e19c7ea04340dafe3,Screen Recorder,https://example.com/
Skype Technologies S.A.,Skype,ff816df2a3dc42904b504a77140005ff5af86ea4,Video Conferencing,https://example.com/
Inkscape project,Inkscape,fded59b1e945cc560d48d2f905c3395d8641f74a,Graphics Editor,https://inkscape.org/
Foxit Software Inc.,Foxit Reader,f93916a7b6bf0f562c805a1a98b4dcd5aa5d017a,PDF Reader,https://example.com/
EJIE Technology,Clover,6ebcc373e30a979582b4c7c6f1c2e50a8039bc33,Unknown,https://example.com/
OneStart.ai,OneStart,37121618e735ebf628f7ba6ce29afc251ed88503,Unknown,https://example.com/
SUPERAntiSpyware,SUPERAntiSpyware,4a996bc861a9f9daa7afe5b834b82b2d573ce184,Security Software,https://example.com/
"Zoom Video Communications, Inc.",Zoom,fd797e4071afe131104c1d29cd0cb606da62f3d5,Video Conferencing,https://zoom.us/
Bandisoft International Inc.,Bandizip,ccdeec743af30d6ee512996963f87e085d181ad7,File archiver,https://example.com/
Godot Engine,Godot Engine,727f49ce2b4c34ecd88554f7c8ab6f0f746f8bbb,Game Engine,https://godotengine.org/
TechSmith Corporation,Camtasia,843b008a36f319d523c3cc45cee034c05f1c7e3d,Screen Recorder,https://example.com/
Iain Patterson,NSSM,47c112c23c7bdf2af24a20bd512f91ff6af76bc6,Unknown,https://example.com/
"Fuji Xerox Co., Ltd.",DocuWorks,f6e383660df4dd2ab8a8d437a343e4b54b48f726,Unknown,https://example.com/
Pleasant Solutions,KeePass,83c2bc8ae83509d260e4e166b564873ca358c18c,Password Manager,https://keepass.info/
"Lumivero, LLC",Citavi,7b7c3fb85ef95c7464a8126ee399c0d860c8c9cd,Reference Manager,https://example.com/
Kakao,PotPlayer,e7dc1366b69b3a737a5ecea3dbb28537bdd078a5,Unknown,https://example.com/
"Dashlane, Inc.",Dashlane,440538893999e2390385c144fa5c2e6e8ec73ba8,Password Manager,https://example.com/
EPI Software,EpiBrowser,ee7f1074f1345b2543a91192214f99d7d9ad7e69,Unknown,https://example.com/
Piriform Software Ltd,Speccy,dc566cc0f653a27436ef32b1410e0d1109371d09,System Utility,https://example.com/
2345ç§»åŠ¨ç§'æŠ€,2345çœ‹å›¾çŽ‹,78f1ae2136e2125582220d9a4d77a3fdaa9f5e2e,Unknown,https://example.com/
Mathias Svensson,Multi Commander,630a71dc6fff81024b51c492e34992182a304706,Unknown,https://example.com/
NTeWORKS,PicPick,59ebc2a6abd2fd15eeb7a2c3d7e48cb7397d2056,Screen Capture,https://example.com/
Axantum Software AB,AxCrypt,518cc58561eb1ed1111b56cab39c8b4caf298a32,Encryption,https://example.com/
HTTPie,HTTPie,2e20048524ab4f9fff49b7f0376b12bc03300bd9,API Development,https://httpie.io/
Oracle Corporation,Java(TM) Platform SE 8 U202,f4e09353d70c7edc2a46376c29c9f131534902a0,Unknown,https://example.com/
Code Sector Inc.,TeraCopy,511b593233722aa8b185d2efb14fa1c0ed1e8aa6,Unknown,https://example.com/
Postman,Postman,f5917a74a8a266e897104b7011b1e97131ad2942,API Development,https://www.postman.com/
NCH Software,WavePad,ebe6ee1fc2ae2bedbd37563902db601165f25572,Unknown,https://example.com/
Sophos B.V.,HitmanPro,7efb99475e37a3aa40465c15af14452925e5225f,Security Software,https://example.com/
,äºŒåˆ€æµå®›åå°åˆ·,fd42804b2f2668449ddf57ae7d3aa2c6ea1195b3,Unknown,https://example.com/
TechSmith Corporation,Snagit,ffc05b12e14fdd077166e9280eac4ca47f4888fa,Screen Recorder,https://example.com/
IDRIX,VeraCrypt,fe7e018808cf85e7e04754500f18c440bc8a2724,Encryption,https://veracrypt.fr/
Movavi,Movavi Video Converter,0d11f15005bdd10de3a7ee1bebb868d2e1b6efbc,Video Converter,https://example.com/
Code Sector,TeraCopy,dc16cc243b873963a8897225032b4a1096d9e8d7,Unknown,https://example.com/
Electronic Arts,Origin,a9f245b54ef78333483a105615a02fa0f0efc16f,Gaming Platform,https://example.com/
Malwarebytes,AdwCleaner,7463365265141da80b59f1e539f5aa1d4b0bf2e5,Security Software,https://example.com/
BMD Systemhaus GmbH,BMDNTCS,fe9f9b55e332344b798e4043c23fc98afdfcd274,Unknown,https://example.com/
Skymatic GmbH,Cryptomator,e90dc120e57504b37addfbcaac2e510657e4752b,Encryption,https://cryptomator.org/
Swiss Academic Software,Citavi,b901a115c2ac8c6d5281a052bfa86afd6b7bcbaa,Reference Manager,https://example.com/
Mozilla Corporation,Tor Browser,e66b9b73b916273397fb7c248bf2f77ed3694bfc,Unknown,https://www.torproject.org/
Foxit Corporation,Foxit Reader,d2361feb183a2c36b30c65663db7a419df8e5a20,PDF Reader,https://example.com/
Monitoring Client,BitLocker,d1da0d23083ecf6018bae998c104fa9ba573bcce,Encryption,https://example.com/
AgileBits Inc.,1Password,a5f45f672ad421ab1bfa0d14813b58fae5dbd054,Password Manager,https://1password.com/
FastStone Soft,FastStone Capture,ca09b8f8e8f5110b750f3853d2cf03a526098434,Screen Capture,https://example.com/
LastPass US LP.,LastPass,e84d2632d81f81f6f3911db2f118501df419f420,Password Manager,https://www.lastpass.com/
"VanDyke Software, Inc.",SecureCRT,fd530c1a125bbdea223c99b9682e881270271995,Terminal,https://example.com/
GOG.com,GOG Galaxy,e6af7508cec6c0dd951db34faca58fb84471f3ea,Gaming Platform,https://example.com/
"UltraEdit, Inc.",UltraEdit,ef58ccc49663887433ced5554466a9e5c3280a1d,Code Editor,https://example.com/
GOM & Company,GOM Player,39e3659d0c4495d3e38e958e6a8020405f71cf90,Unknown,https://example.com/
Dominik Reichl,KeePass,ed1a56b9d794c2b695bf5d587fdf6cdb121a56fa,Password Manager,https://keepass.info/
Oracle Corporation,Java(TM) Platform SE 7 U79,e77eb68c3d199a6d15c44d784e9ed06c60ac196b,Unknown,https://example.com/
AM Crypto,VeraCrypt,8e61431a87d3121d519a9157c1b712a4778dad89,Encryption,https://veracrypt.fr/
"AgileBits, Inc.",1Password,c30e231003e4421b6481938959d2faaefee508dd,Password Manager,https://1password.com/
GP Software,Directory Opus,ddbfe6f6855192a8631459d3cc8f58e09f8bcc25,Unknown,https://example.com/
"Zhuhai Kingsoft Office Software Co.,Ltd",WPS Office,ff04e66fb45fc47603472104ffa7b7180619ed47,Unknown,https://example.com/
ShareX Team,ShareX,bb5fcea481dee7f21cbcef376b1f8c4d8386c19b,Screen Capture,https://getsharex.com/
Geek Uninstaller,Geek-Uninstaller,515df2a9fb35beef25d070b688d692646f0a1c8f,Unknown,https://example.com/
Oracle and/or its affiliates,Oracle VM VirtualBox,fd44e26235d919932d30a10acea01e3d3b0de48c,Virtualization,https://www.virtualbox.org/
"Epic Games, Inc.",Unreal Engine,fc7593973995945953c56105f42d9313b4179890,Game Engine,https://example.com/
WiseCleaner.com,Wise Disk Cleaner,36e318fae991e4ba622ea1f81ca9f4acdef826ee,System Utility,https://example.com/
Gen Digital Inc.,CCleaner,ff855d6ffc71f6b2156484743c7fd90251500da5,System Utility,https://www.ccleaner.com/
Audacity Team,Audacity,d1f5013ae1c8295d116f7ddd44d2507328b19b31,Audio Editor,https://www.audacityteam.org/
Ammyy LLC,Ammyy Admin,5d7cb1a2ca7db04edf23dd3ed41125c8c867b0ad,Remote Desktop,https://example.com/
Termius Corporation,Termius,f73f59eb53cbd53c3777a084bbe7d052e5f7c30b,Terminal,https://termius.com/
Sogou.com,"æœç‹—è¾""å…¥æ³•",ffa3bb9c687a47c016cdaa68f4695b2926136ba2,Unknown,https://example.com/
Sogou,"QQæ‹¼éŸ³è¾""å…¥æ³• å‰ªè´´æ¿",fcf5ff698d5a11bc587017a996f1268383096693,Unknown,https://example.com/
Malwarebytes,Malwarebytes,f4ce66f16fee53215531d692ffb72101740690b5,Security Software,https://www.malwarebytes.com/
Monitoring Client,OneDrive,45bca01e0f2cdb3597eaa331b8885f17d791de90,File Sharing,https://example.com/
voidtools,Everything,fd3fe99212ac32f070243a67878201aaf1fd9d4b,File Search,https://www.voidtools.com/
Foxit Software Inc,Foxit Reader,c04bf6987d65eaba31b0cb15b5ebe3a666a5606d,PDF Reader,https://example.com/
HandBrake Team,HandBrake,9fe29cdb1b783dee8bb2ba64789e821253577d27,Video Converter,https://handbrake.fr/
"Riot Games, Inc.",Riot Client,0083c73f5fdaf2361d9c62bd7d796b749086487e,Unknown,https://example.com/
Martin Prikryl,WinSCP,feca2ab0bd116a0e909906eeea47aeb66a4ca845,File Transfer,https://winscp.net/
"GitHub, Inc.",Atom,fa77127cc358d50aa4401135a992edcda22e81fa,Code Editor,https://example.com/
Aagon GmbH,Aagon Client Management Platform,ffec53e130dab52487f9bcf7ab75cd8e70762e61,Unknown,https://example.com/
Skype Technologies,Skype,ff20ff07275c6a1c0ea3ebd371786b900435e183,Video Conferencing,https://example.com/
Piriform Software Ltd,CCleaner,fb8a5483428b234ec93b188576302e08ebd01c26,System Utility,https://www.ccleaner.com/
BleachBit,BleachBit,f2a5012b7d9e5877505018c9e6e29c8caebc14dc,System Utility,https://www.bleachbit.org/
IObit,IObit Uninstaller,de4f56af09416aec8a0963db09213152dc7c029d,System Utility,https://example.com/
"Dropbox, Inc.",Dropbox,da6fb067caa52f780bfe9e7aaee6ca5f7086fe26,File Sharing,https://www.dropbox.com/
OriginLab Corporation,Origin,f4d8991f01dbdc40b27cb86d505ee10c85a9ba53,Gaming Platform,https://example.com/
æ ªå¼ä¼šç¤¾ãƒ‡ã‚£ãƒ¼ãƒ»ã‚ªãƒ¼ãƒ»ã‚¨ã‚¹,ss1DevWMI,f7da56e56533f3466771adff9bd379e372a7dbd8,Unknown,https://example.com/
Tencent,"è…¾è®¯ç""µè„'ç®¡å®¶",f1e093a54691faa09849db628c0a988a8eef84be,Unknown,https://example.com/
360.cn,360å®‰å…¨å«å£«,f47dc240f012bc9233950a66fe6664870dabfcc3,Unknown,https://example.com/
Uniface B.V.,Uniface,f9630f3717f1920281693082a88edbf3ad7e4cc1,Unknown,https://example.com/
Sofiane Fares | FranÃ§ois Bridonneau | A2C MatÃ©riaux,A2C - VÃ©rif,ff193255e2018e9366eec18e61d88ffa4bd05699,Unknown,https://example.com/
Alexander Roshal,WinRAR,fdc3009ea9727d87224a53c19046d1d6c8d70884,File archiver,https://example.com/
Mobatek,MobaXterm,f5ca50ee8bc9d01760c7d0d4fc0c814cbbf26bc9,Terminal,https://mobaxterm.mobatek.net/
Ubisoft,Ubisoft Connect,edd8c6d66d582fc62bd3c836e21ac016120e8b73,Gaming Platform,https://example.com/
"IDM Computer Solutions, Inc.",UltraEdit,d918b4db936ca3e41f93d874e5ce0dc77baedd18,Code Editor,https://example.com/
360.cn,360åŽ‹ç¼©,f660193cfc64012c323736b20ab43156140d412f,Unknown,https://example.com/
Zotero,Zotero,d695cf1b3949c674328ff836a03c1dc29ff6e582,Reference Manager,https://www.zotero.org/
Bandisoft.com,Bandizip,d330d453f18d86dcfa5ef7fba0c5c9f266477c5a,File archiver,https://example.com/
GlavSoft LLC.,TightVNC,fceb4c7708dd34dfa72a76b302782891fde4bdd3,Remote Desktop,https://example.com/
Discord Inc.,Discord,e674f0509c998b170acd80017ea63a8fd2476b13,Team Collaboration,https://discord.com/
TeamViewer GmbH,TeamViewer,fe341152fb636c54487ea3807e11b5ad79221515,Remote Desktop,https://www.teamviewer.com/
dotPDN LLC,Paint.NET,ed41bc52f274b77f6f121a80a3dfb3db106fc8e9,Graphics Editor,https://example.com/
Oracle Corporation,Oracle VM VirtualBox,daee49684142f1cd9a6d4a5469ec0cba26a490bf,Virtualization,https://www.virtualbox.org/
OBS,OBS Studio,f0e910b6d5da4a2601e202de95c25517be3f271d,Video Recording,https://obsproject.com/
SOURCENEXT CORPORATION,ç­†çŽ‹,b2709fba065e1366ce570e4d80ae54fbce4c29ad,Unknown,https://example.com/
Nanosystems S.r.l.,Supremo,058c2fa8408fbb80639ee224556a886fea4ebb2e,Remote Desktop,https://example.com/
NGWIN,PicPick,fdc5ea3c3e8f2f43130330e85587d3a359106f8b,Screen Capture,https://example.com/
UltraVNC,UltraVNC,fed36ba4336e4ac726bcabc0148104dd739b05c9,Remote Desktop,https://example.com/
Skillbrains,Lightshot,fa7b69793454131a5b21b32867533305651e2dd4,Screen Capture,https://example.com/
Corporation for Digital Scholarship,Zotero,fb1c15ac6e999d8ca65e832e3ecb58a763d69014,Reference Manager,https://www.zotero.org/
æ ªå¼ä¼šç¤¾ ãƒ•ã‚©ãƒ¯ãƒ¼ãƒ‰,ã‚²ãƒ¼ãƒˆã‚¦ã‚§ã‚¤ãƒ­ã‚°ç…§ä¼š,f667f777ef42f78bdc397a5ceae806a5f1d9779f,Unknown,https://example.com/
Oracle Corporation,Java(TM) Platform SE 17.0.1,a11cd33a675d228c9cf6f1fb3340abc38d35067c,Unknown,https://example.com/
Kingsoft Corp. Ltd.,WPS Office,64dbe4c105a9780af5a313c75efe9ba2cd9968c1,Unknown,https://example.com/
Movavi,Movavi Video Converter,910b5ff01e62f8a8862e7b1d274865d1a1a459a8,Video Converter,https://example.com/
Xrev,Transmit,26f3af72b2f03f674b7680c091c3ddcbfb24c758,File Transfer,https://example.com/
